running job: 3
/home-mscluster/erex/anaconda3/envs/swav/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: libtorch_cuda_cu.so: cannot open shared object file: No such file or directory
  warn(f"Failed to load image Python extension: {e}")
INFO - 02/18/23 03:15:36 - 0:00:00 - ============ Initialized logger ============
INFO - 02/18/23 03:15:36 - 0:00:00 - arch: resnet50
                                     batch_size: 32
                                     data_path: /home-mscluster/erex/research_project/datasets/Covidx-CT
                                     decay_epochs: [60, 80]
                                     dist_url: env://
                                     dump_checkpoints: /home-mscluster/erex/research_project/models/swav/experiments/training/saving_dir3/checkpoints
                                     dump_path: /home-mscluster/erex/research_project/models/swav/experiments/training/saving_dir3
                                     epochs: 100
                                     final_lr: 0
                                     gamma: 0.1
                                     global_pooling: True
                                     gpu_to_work_on: 0
                                     is_slurm_job: True
                                     local_rank: 0
                                     lr: 0.3
                                     nesterov: False
                                     num_labels: 2
                                     pretrained: /home-mscluster/erex/research_project/models/swav/experiments/pre-training/saving_dir3/checkpoint.pth.tar
                                     rank: 0
                                     scheduler_type: cosine
                                     seed: 31
                                     use_bn: False
                                     wd: 1e-06
                                     workers: 10
                                     world_size: 1
INFO - 02/18/23 03:15:36 - 0:00:00 - The experiment will be stored in /home-mscluster/erex/research_project/models/swav/experiments/training/saving_dir3
                                     

INFO - 02/18/23 03:18:43 - 0:03:06 - Building data done
INFO - 02/18/23 03:19:16 - 0:03:40 - Load pretrained model with msg: _IncompatibleKeys(missing_keys=[], unexpected_keys=['projection_head.0.weight', 'projection_head.0.bias', 'projection_head.1.weight', 'projection_head.1.bias', 'projection_head.1.running_mean', 'projection_head.1.running_var', 'projection_head.1.num_batches_tracked', 'projection_head.3.weight', 'projection_head.3.bias', 'prototypes.weight'])
INFO - 02/18/23 03:19:16 - 0:03:40 - ============ Starting epoch 0 ... ============
[W reducer.cpp:1251] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
INFO - 02/18/23 03:19:49 - 0:04:13 - Epoch[0] - Iter: [0/11173]	Time 33.155 (33.155)	Data 2.332 (2.332)	Loss 0.6042 (0.6042)	Prec 87.500 (87.500)	LR 0.3
INFO - 02/18/23 03:21:28 - 0:05:52 - Epoch[0] - Iter: [600/11173]	Time 0.024 (0.220)	Data 0.000 (0.144)	Loss 0.5909 (3.3236)	Prec 90.625 (80.382)	LR 0.3
INFO - 02/18/23 03:21:36 - 0:06:00 - Epoch[0] - Iter: [650/11173]	Time 0.024 (0.216)	Data 0.000 (0.144)	Loss 1.7466 (3.2497)	Prec 87.500 (80.607)	LR 0.3
INFO - 02/18/23 03:21:44 - 0:06:08 - Epoch[0] - Iter: [700/11173]	Time 0.025 (0.211)	Data 0.000 (0.143)	Loss 0.5616 (3.2463)	Prec 96.875 (80.720)	LR 0.3
INFO - 02/18/23 03:21:53 - 0:06:17 - Epoch[0] - Iter: [750/11173]	Time 0.024 (0.210)	Data 0.000 (0.144)	Loss 1.1822 (3.2347)	Prec 87.500 (80.755)	LR 0.3
INFO - 02/18/23 03:22:03 - 0:06:27 - Epoch[0] - Iter: [800/11173]	Time 0.025 (0.209)	Data 0.000 (0.146)	Loss 1.7778 (3.1690)	Prec 84.375 (80.887)	LR 0.3
INFO - 02/18/23 03:22:11 - 0:06:35 - Epoch[0] - Iter: [850/11173]	Time 0.025 (0.206)	Data 0.000 (0.146)	Loss 4.0007 (3.1298)	Prec 84.375 (80.894)	LR 0.3
INFO - 02/18/23 03:22:19 - 0:06:42 - Epoch[0] - Iter: [900/11173]	Time 0.024 (0.203)	Data 0.000 (0.144)	Loss 2.0443 (3.2202)	Prec 81.250 (80.872)	LR 0.3
INFO - 02/18/23 03:22:27 - 0:06:50 - Epoch[0] - Iter: [950/11173]	Time 0.024 (0.201)	Data 0.000 (0.144)	Loss 1.0543 (3.1731)	Prec 84.375 (80.928)	LR 0.3
INFO - 02/18/23 03:22:35 - 0:06:59 - Epoch[0] - Iter: [1000/11173]	Time 0.025 (0.199)	Data 0.000 (0.144)	Loss 2.2433 (3.1487)	Prec 68.750 (80.960)	LR 0.3
INFO - 02/18/23 03:22:43 - 0:07:07 - Epoch[0] - Iter: [1050/11173]	Time 0.065 (0.197)	Data 0.041 (0.144)	Loss 2.8257 (3.1115)	Prec 81.250 (81.075)	LR 0.3
INFO - 02/18/23 03:22:53 - 0:07:17 - Epoch[0] - Iter: [1100/11173]	Time 0.711 (0.197)	Data 0.687 (0.145)	Loss 3.1860 (3.0942)	Prec 62.500 (81.023)	LR 0.3
INFO - 02/18/23 03:23:01 - 0:07:25 - Epoch[0] - Iter: [1150/11173]	Time 0.704 (0.196)	Data 0.680 (0.144)	Loss 0.3832 (3.0256)	Prec 93.750 (81.258)	LR 0.3
INFO - 02/18/23 03:23:10 - 0:07:33 - Epoch[0] - Iter: [1200/11173]	Time 0.364 (0.195)	Data 0.340 (0.144)	Loss 2.2517 (2.9984)	Prec 87.500 (81.289)	LR 0.3
INFO - 02/18/23 03:23:18 - 0:07:42 - Epoch[0] - Iter: [1250/11173]	Time 0.344 (0.194)	Data 0.320 (0.145)	Loss 1.7312 (2.9778)	Prec 84.375 (81.345)	LR 0.3
INFO - 02/18/23 03:23:28 - 0:07:52 - Epoch[0] - Iter: [1300/11173]	Time 0.248 (0.194)	Data 0.224 (0.146)	Loss 4.4602 (2.9706)	Prec 71.875 (81.353)	LR 0.3
INFO - 02/18/23 03:23:37 - 0:08:01 - Epoch[0] - Iter: [1350/11173]	Time 0.025 (0.194)	Data 0.000 (0.146)	Loss 2.7885 (2.9377)	Prec 75.000 (81.484)	LR 0.3
INFO - 02/18/23 03:23:45 - 0:08:09 - Epoch[0] - Iter: [1400/11173]	Time 0.025 (0.192)	Data 0.000 (0.146)	Loss 1.7767 (2.8977)	Prec 81.250 (81.536)	LR 0.3
INFO - 02/18/23 03:23:54 - 0:08:18 - Epoch[0] - Iter: [1450/11173]	Time 0.025 (0.192)	Data 0.000 (0.146)	Loss 0.8979 (2.8801)	Prec 93.750 (81.577)	LR 0.3
INFO - 02/18/23 03:24:03 - 0:08:27 - Epoch[0] - Iter: [1500/11173]	Time 0.025 (0.191)	Data 0.000 (0.146)	Loss 5.5719 (2.8830)	Prec 68.750 (81.602)	LR 0.3
INFO - 02/18/23 03:24:13 - 0:08:36 - Epoch[0] - Iter: [1550/11173]	Time 0.025 (0.191)	Data 0.000 (0.147)	Loss 7.5338 (2.8741)	Prec 40.625 (81.663)	LR 0.3
INFO - 02/18/23 03:24:22 - 0:08:46 - Epoch[0] - Iter: [1600/11173]	Time 0.025 (0.191)	Data 0.000 (0.148)	Loss 2.2213 (2.8866)	Prec 84.375 (81.697)	LR 0.3
INFO - 02/18/23 03:24:32 - 0:08:56 - Epoch[0] - Iter: [1650/11173]	Time 0.025 (0.191)	Data 0.000 (0.148)	Loss 1.8442 (2.8584)	Prec 87.500 (81.803)	LR 0.3
INFO - 02/18/23 03:24:41 - 0:09:05 - Epoch[0] - Iter: [1700/11173]	Time 0.025 (0.191)	Data 0.000 (0.149)	Loss 1.9617 (2.8384)	Prec 90.625 (81.812)	LR 0.3
INFO - 02/18/23 03:24:51 - 0:09:15 - Epoch[0] - Iter: [1750/11173]	Time 0.028 (0.192)	Data 0.000 (0.149)	Loss 3.2350 (2.8627)	Prec 81.250 (81.744)	LR 0.3
INFO - 02/18/23 03:25:01 - 0:09:24 - Epoch[0] - Iter: [1800/11173]	Time 0.025 (0.191)	Data 0.000 (0.150)	Loss 4.0135 (2.8791)	Prec 87.500 (81.748)	LR 0.3
INFO - 02/18/23 03:25:11 - 0:09:35 - Epoch[0] - Iter: [1850/11173]	Time 0.025 (0.192)	Data 0.000 (0.151)	Loss 1.6088 (2.8785)	Prec 87.500 (81.762)	LR 0.3
INFO - 02/18/23 03:25:21 - 0:09:45 - Epoch[0] - Iter: [1900/11173]	Time 0.025 (0.192)	Data 0.000 (0.151)	Loss 0.6979 (2.8699)	Prec 90.625 (81.843)	LR 0.3
INFO - 02/18/23 03:25:31 - 0:09:55 - Epoch[0] - Iter: [1950/11173]	Time 0.025 (0.192)	Data 0.000 (0.152)	Loss 5.9093 (2.8626)	Prec 81.250 (81.841)	LR 0.3
INFO - 02/18/23 03:25:42 - 0:10:06 - Epoch[0] - Iter: [2000/11173]	Time 0.025 (0.193)	Data 0.000 (0.153)	Loss 2.2583 (2.8570)	Prec 81.250 (81.826)	LR 0.3
INFO - 02/18/23 03:25:51 - 0:10:14 - Epoch[0] - Iter: [2050/11173]	Time 0.024 (0.193)	Data 0.000 (0.153)	Loss 2.3721 (2.8377)	Prec 75.000 (81.901)	LR 0.3
INFO - 02/18/23 03:26:00 - 0:10:23 - Epoch[0] - Iter: [2100/11173]	Time 0.259 (0.192)	Data 0.235 (0.153)	Loss 0.5722 (2.8139)	Prec 87.500 (81.948)	LR 0.3
INFO - 02/18/23 03:26:10 - 0:10:34 - Epoch[0] - Iter: [2150/11173]	Time 0.543 (0.192)	Data 0.518 (0.154)	Loss 0.2167 (2.7965)	Prec 90.625 (81.975)	LR 0.3
INFO - 02/18/23 03:26:19 - 0:10:43 - Epoch[0] - Iter: [2200/11173]	Time 0.098 (0.192)	Data 0.074 (0.154)	Loss 2.2076 (2.7962)	Prec 75.000 (81.946)	LR 0.3
INFO - 02/18/23 03:26:29 - 0:10:52 - Epoch[0] - Iter: [2250/11173]	Time 0.031 (0.192)	Data 0.006 (0.154)	Loss 4.4410 (2.7984)	Prec 84.375 (81.969)	LR 0.3
INFO - 02/18/23 03:26:39 - 0:11:03 - Epoch[0] - Iter: [2300/11173]	Time 0.025 (0.193)	Data 0.000 (0.155)	Loss 5.0774 (2.8035)	Prec 81.250 (81.963)	LR 0.3
INFO - 02/18/23 03:26:49 - 0:11:13 - Epoch[0] - Iter: [2350/11173]	Time 0.025 (0.193)	Data 0.000 (0.155)	Loss 0.7527 (2.7992)	Prec 87.500 (82.004)	LR 0.3
INFO - 02/18/23 03:26:59 - 0:11:22 - Epoch[0] - Iter: [2400/11173]	Time 0.025 (0.193)	Data 0.000 (0.155)	Loss 0.7095 (2.7903)	Prec 90.625 (81.994)	LR 0.3
INFO - 02/18/23 03:27:09 - 0:11:32 - Epoch[0] - Iter: [2450/11173]	Time 0.025 (0.193)	Data 0.000 (0.156)	Loss 4.4372 (2.7953)	Prec 78.125 (81.972)	LR 0.3
INFO - 02/18/23 03:27:19 - 0:11:43 - Epoch[0] - Iter: [2500/11173]	Time 0.581 (0.193)	Data 0.557 (0.156)	Loss 2.4291 (2.7999)	Prec 81.250 (81.968)	LR 0.3
INFO - 02/18/23 03:27:30 - 0:11:53 - Epoch[0] - Iter: [2550/11173]	Time 0.903 (0.194)	Data 0.879 (0.157)	Loss 3.3100 (2.7911)	Prec 90.625 (82.008)	LR 0.3
INFO - 02/18/23 03:27:42 - 0:12:05 - Epoch[0] - Iter: [2600/11173]	Time 1.716 (0.194)	Data 1.692 (0.158)	Loss 4.8025 (2.8210)	Prec 81.250 (82.000)	LR 0.3
INFO - 02/18/23 03:27:50 - 0:12:14 - Epoch[0] - Iter: [2650/11173]	Time 0.612 (0.194)	Data 0.588 (0.158)	Loss 6.6347 (2.8877)	Prec 84.375 (81.963)	LR 0.3
INFO - 02/18/23 03:27:59 - 0:12:23 - Epoch[0] - Iter: [2700/11173]	Time 0.025 (0.194)	Data 0.000 (0.158)	Loss 0.4287 (2.9053)	Prec 93.750 (81.953)	LR 0.3
INFO - 02/18/23 03:28:10 - 0:12:34 - Epoch[0] - Iter: [2750/11173]	Time 0.025 (0.194)	Data 0.000 (0.158)	Loss 0.0000 (2.9150)	Prec 100.000 (81.969)	LR 0.3
INFO - 02/18/23 03:28:21 - 0:12:45 - Epoch[0] - Iter: [2800/11173]	Time 0.838 (0.195)	Data 0.814 (0.159)	Loss 2.5064 (2.9159)	Prec 78.125 (81.965)	LR 0.3
INFO - 02/18/23 03:28:31 - 0:12:55 - Epoch[0] - Iter: [2850/11173]	Time 0.025 (0.195)	Data 0.000 (0.159)	Loss 1.0011 (2.9133)	Prec 90.625 (82.001)	LR 0.3
INFO - 02/18/23 03:28:41 - 0:13:04 - Epoch[0] - Iter: [2900/11173]	Time 0.342 (0.195)	Data 0.318 (0.160)	Loss 4.5560 (2.9285)	Prec 90.625 (81.994)	LR 0.3
INFO - 02/18/23 03:28:50 - 0:13:14 - Epoch[0] - Iter: [2950/11173]	Time 0.025 (0.195)	Data 0.000 (0.160)	Loss 1.5546 (2.9246)	Prec 84.375 (82.011)	LR 0.3
INFO - 02/18/23 03:29:01 - 0:13:24 - Epoch[0] - Iter: [3000/11173]	Time 0.025 (0.195)	Data 0.000 (0.160)	Loss 1.8691 (2.9237)	Prec 93.750 (82.005)	LR 0.3
INFO - 02/18/23 03:29:10 - 0:13:34 - Epoch[0] - Iter: [3050/11173]	Time 0.025 (0.195)	Data 0.000 (0.160)	Loss 3.7742 (2.9221)	Prec 75.000 (82.010)	LR 0.3
INFO - 02/18/23 03:29:20 - 0:13:43 - Epoch[0] - Iter: [3100/11173]	Time 0.025 (0.195)	Data 0.000 (0.160)	Loss 3.4501 (2.9262)	Prec 81.250 (82.025)	LR 0.3
INFO - 02/18/23 03:29:31 - 0:13:54 - Epoch[0] - Iter: [3150/11173]	Time 0.025 (0.195)	Data 0.000 (0.161)	Loss 2.4656 (2.9281)	Prec 81.250 (82.055)	LR 0.3
INFO - 02/18/23 03:29:40 - 0:14:04 - Epoch[0] - Iter: [3200/11173]	Time 0.025 (0.195)	Data 0.000 (0.161)	Loss 1.4289 (2.9152)	Prec 84.375 (82.101)	LR 0.3
INFO - 02/18/23 03:29:50 - 0:14:14 - Epoch[0] - Iter: [3250/11173]	Time 0.402 (0.195)	Data 0.378 (0.161)	Loss 16.6360 (2.9286)	Prec 75.000 (82.089)	LR 0.3
INFO - 02/18/23 03:30:01 - 0:14:24 - Epoch[0] - Iter: [3300/11173]	Time 0.025 (0.195)	Data 0.000 (0.161)	Loss 3.7124 (2.9322)	Prec 81.250 (82.112)	LR 0.3
INFO - 02/18/23 03:30:11 - 0:14:34 - Epoch[0] - Iter: [3350/11173]	Time 0.025 (0.195)	Data 0.000 (0.162)	Loss 1.4221 (2.9228)	Prec 90.625 (82.155)	LR 0.3
INFO - 02/18/23 03:30:21 - 0:14:45 - Epoch[0] - Iter: [3400/11173]	Time 0.025 (0.196)	Data 0.000 (0.162)	Loss 3.6402 (2.9112)	Prec 71.875 (82.165)	LR 0.3
INFO - 02/18/23 03:30:32 - 0:14:56 - Epoch[0] - Iter: [3450/11173]	Time 0.025 (0.196)	Data 0.000 (0.162)	Loss 0.0081 (2.8960)	Prec 100.000 (82.193)	LR 0.3
INFO - 02/18/23 03:30:43 - 0:15:07 - Epoch[0] - Iter: [3500/11173]	Time 0.025 (0.196)	Data 0.000 (0.163)	Loss 3.4835 (2.8790)	Prec 75.000 (82.251)	LR 0.3
INFO - 02/18/23 03:30:52 - 0:15:16 - Epoch[0] - Iter: [3550/11173]	Time 0.025 (0.196)	Data 0.000 (0.163)	Loss 1.4204 (2.8645)	Prec 84.375 (82.286)	LR 0.3
INFO - 02/18/23 03:31:03 - 0:15:26 - Epoch[0] - Iter: [3600/11173]	Time 0.025 (0.196)	Data 0.000 (0.163)	Loss 0.3201 (2.8590)	Prec 96.875 (82.299)	LR 0.3
INFO - 02/18/23 03:31:13 - 0:15:36 - Epoch[0] - Iter: [3650/11173]	Time 0.025 (0.196)	Data 0.000 (0.163)	Loss 4.4214 (2.8657)	Prec 78.125 (82.306)	LR 0.3
INFO - 02/18/23 03:31:23 - 0:15:46 - Epoch[0] - Iter: [3700/11173]	Time 0.025 (0.196)	Data 0.000 (0.164)	Loss 2.3864 (2.8604)	Prec 75.000 (82.315)	LR 0.3
INFO - 02/18/23 03:31:33 - 0:15:56 - Epoch[0] - Iter: [3750/11173]	Time 0.025 (0.196)	Data 0.000 (0.164)	Loss 1.3716 (2.8468)	Prec 90.625 (82.361)	LR 0.3
INFO - 02/18/23 03:31:43 - 0:16:07 - Epoch[0] - Iter: [3800/11173]	Time 0.025 (0.197)	Data 0.000 (0.164)	Loss 2.3260 (2.8368)	Prec 90.625 (82.404)	LR 0.3
INFO - 02/18/23 03:31:53 - 0:16:17 - Epoch[0] - Iter: [3850/11173]	Time 0.025 (0.197)	Data 0.000 (0.164)	Loss 0.7448 (2.8165)	Prec 81.250 (82.448)	LR 0.3
INFO - 02/18/23 03:32:03 - 0:16:27 - Epoch[0] - Iter: [3900/11173]	Time 0.025 (0.197)	Data 0.000 (0.164)	Loss 0.8853 (2.8107)	Prec 81.250 (82.448)	LR 0.3
INFO - 02/18/23 03:32:13 - 0:16:37 - Epoch[0] - Iter: [3950/11173]	Time 0.025 (0.197)	Data 0.000 (0.164)	Loss 4.4856 (2.8034)	Prec 65.625 (82.457)	LR 0.3
INFO - 02/18/23 03:32:23 - 0:16:46 - Epoch[0] - Iter: [4000/11173]	Time 0.025 (0.197)	Data 0.000 (0.164)	Loss 5.6247 (2.7959)	Prec 78.125 (82.468)	LR 0.3
INFO - 02/18/23 03:32:33 - 0:16:56 - Epoch[0] - Iter: [4050/11173]	Time 0.025 (0.197)	Data 0.000 (0.165)	Loss 2.8242 (2.7973)	Prec 90.625 (82.486)	LR 0.3
INFO - 02/18/23 03:32:43 - 0:17:07 - Epoch[0] - Iter: [4100/11173]	Time 0.025 (0.197)	Data 0.000 (0.165)	Loss 3.7262 (2.7854)	Prec 84.375 (82.505)	LR 0.3
INFO - 02/18/23 03:32:54 - 0:17:17 - Epoch[0] - Iter: [4150/11173]	Time 0.025 (0.197)	Data 0.000 (0.165)	Loss 6.1154 (2.7821)	Prec 65.625 (82.522)	LR 0.3
INFO - 02/18/23 03:33:04 - 0:17:28 - Epoch[0] - Iter: [4200/11173]	Time 0.025 (0.197)	Data 0.000 (0.165)	Loss 2.4391 (2.7846)	Prec 71.875 (82.521)	LR 0.3
INFO - 02/18/23 03:33:15 - 0:17:38 - Epoch[0] - Iter: [4250/11173]	Time 0.025 (0.197)	Data 0.000 (0.165)	Loss 2.0092 (2.7758)	Prec 84.375 (82.528)	LR 0.3
INFO - 02/18/23 03:33:25 - 0:17:48 - Epoch[0] - Iter: [4300/11173]	Time 0.024 (0.197)	Data 0.000 (0.166)	Loss 0.6411 (2.7754)	Prec 87.500 (82.525)	LR 0.3
INFO - 02/18/23 03:33:35 - 0:17:58 - Epoch[0] - Iter: [4350/11173]	Time 0.024 (0.197)	Data 0.000 (0.166)	Loss 2.4772 (2.7731)	Prec 75.000 (82.537)	LR 0.3
INFO - 02/18/23 03:33:45 - 0:18:08 - Epoch[0] - Iter: [4400/11173]	Time 0.025 (0.197)	Data 0.000 (0.166)	Loss 2.2886 (2.7783)	Prec 87.500 (82.528)	LR 0.3
INFO - 02/18/23 03:33:55 - 0:18:19 - Epoch[0] - Iter: [4450/11173]	Time 0.025 (0.197)	Data 0.000 (0.166)	Loss 2.3433 (2.7759)	Prec 84.375 (82.550)	LR 0.3
INFO - 02/18/23 03:34:04 - 0:18:28 - Epoch[0] - Iter: [4500/11173]	Time 0.025 (0.197)	Data 0.000 (0.166)	Loss 2.3083 (2.7808)	Prec 87.500 (82.544)	LR 0.3
INFO - 02/18/23 03:34:14 - 0:18:38 - Epoch[0] - Iter: [4550/11173]	Time 0.025 (0.197)	Data 0.000 (0.166)	Loss 5.8252 (2.7749)	Prec 75.000 (82.562)	LR 0.3
INFO - 02/18/23 03:34:24 - 0:18:48 - Epoch[0] - Iter: [4600/11173]	Time 0.025 (0.197)	Data 0.000 (0.166)	Loss 0.9015 (2.7685)	Prec 96.875 (82.578)	LR 0.3
INFO - 02/18/23 03:34:34 - 0:18:58 - Epoch[0] - Iter: [4650/11173]	Time 0.025 (0.197)	Data 0.000 (0.166)	Loss 0.5804 (2.7626)	Prec 87.500 (82.575)	LR 0.3
INFO - 02/18/23 03:34:44 - 0:19:08 - Epoch[0] - Iter: [4700/11173]	Time 0.025 (0.197)	Data 0.000 (0.166)	Loss 1.3009 (2.7581)	Prec 90.625 (82.583)	LR 0.3
INFO - 02/18/23 03:34:54 - 0:19:17 - Epoch[0] - Iter: [4750/11173]	Time 0.025 (0.197)	Data 0.000 (0.166)	Loss 1.4236 (2.7502)	Prec 84.375 (82.602)	LR 0.3
INFO - 02/18/23 03:35:04 - 0:19:27 - Epoch[0] - Iter: [4800/11173]	Time 0.025 (0.197)	Data 0.000 (0.166)	Loss 1.6124 (2.7428)	Prec 87.500 (82.624)	LR 0.3
INFO - 02/18/23 03:35:12 - 0:19:36 - Epoch[0] - Iter: [4850/11173]	Time 0.025 (0.197)	Data 0.000 (0.166)	Loss 0.9917 (2.7444)	Prec 93.750 (82.620)	LR 0.3
INFO - 02/18/23 03:35:22 - 0:19:46 - Epoch[0] - Iter: [4900/11173]	Time 0.239 (0.197)	Data 0.214 (0.166)	Loss 1.7513 (2.7519)	Prec 81.250 (82.606)	LR 0.3
INFO - 02/18/23 03:35:33 - 0:19:57 - Epoch[0] - Iter: [4950/11173]	Time 0.025 (0.197)	Data 0.000 (0.167)	Loss 0.6990 (2.7470)	Prec 93.750 (82.617)	LR 0.3
INFO - 02/18/23 03:35:43 - 0:20:07 - Epoch[0] - Iter: [5000/11173]	Time 0.024 (0.197)	Data 0.000 (0.167)	Loss 2.5684 (2.7510)	Prec 87.500 (82.613)	LR 0.3
INFO - 02/18/23 03:35:53 - 0:20:16 - Epoch[0] - Iter: [5050/11173]	Time 0.025 (0.197)	Data 0.000 (0.167)	Loss 1.5600 (2.7481)	Prec 90.625 (82.617)	LR 0.3
INFO - 02/18/23 03:36:03 - 0:20:26 - Epoch[0] - Iter: [5100/11173]	Time 0.025 (0.197)	Data 0.000 (0.167)	Loss 0.9443 (2.7434)	Prec 87.500 (82.618)	LR 0.3
INFO - 02/18/23 03:36:13 - 0:20:37 - Epoch[0] - Iter: [5150/11173]	Time 0.944 (0.197)	Data 0.919 (0.167)	Loss 4.3342 (2.7368)	Prec 71.875 (82.625)	LR 0.3
INFO - 02/18/23 03:36:23 - 0:20:46 - Epoch[0] - Iter: [5200/11173]	Time 0.847 (0.197)	Data 0.823 (0.167)	Loss 1.1184 (2.7260)	Prec 87.500 (82.645)	LR 0.3
INFO - 02/18/23 03:36:33 - 0:20:56 - Epoch[0] - Iter: [5250/11173]	Time 0.722 (0.197)	Data 0.697 (0.167)	Loss 0.6081 (2.7226)	Prec 93.750 (82.646)	LR 0.3
INFO - 02/18/23 03:36:42 - 0:21:06 - Epoch[0] - Iter: [5300/11173]	Time 0.025 (0.197)	Data 0.000 (0.167)	Loss 1.7755 (2.7172)	Prec 84.375 (82.669)	LR 0.3
